name,category,price,updated_at
Wireless Mouse,Electronics,24.99,2024-10-01T12:30:00Z
Mechanical Keyboard,Electronics,89.50,2024-10-01T12:30:00Z
Office Chair,Furniture,199.99,2024-10-02T15:45:00Z
Standing Desk,Furniture,399.00,2024-10-03T08:15:00Z
Notebook Pack,Stationery,12.49,2024-10-04T09:00:00Z
Gel Pens Set,Stationery,9.99,2024-10-04T09:00:00Z
Coffee Beans,Grocery,15.75,2024-10-05T10:30:00Z
Green Tea,Grocery,8.20,2024-10-05T10:30:00Z
Noise Cancelling Headphones,Electronics,249.00,2024-10-06T11:20:00Z
Desk Lamp,Furniture,45.00,2024-10-06T11:20:00Z

